derived_ethnicity,derived_race,derived_sex,action_taken,loan_amount,interest_rate,property_value,income,applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race_observed,applicant_sex,applicant_sex_observed,applicant_age,applicant_age_above_62,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage
Not Hispanic or Latino,White,Male,1,105000,7.625,135000,186,2,2,,2,5,,,2,1,2,25-34,No,1652,26.57,83800,110
Not Hispanic or Latino,White,Joint,1,455000,6.624,505000,107,1,2,,2,5,,,2,2,2,25-34,No,4615,44.29,156200,81
Not Hispanic or Latino,White,Male,1,655000,8.25,1005000,179,3,2,,2,5,,,2,1,2,35-44,No,5790,78.64,101900,107
Not Hispanic or Latino,Black or African American,Male,0,1275000,NA,1495000,688,1,2,,2,3,,,2,1,2,25-34,No,3141,28.27,101900,96
Not Hispanic or Latino,Race Not Available,Male,1,445000,7.75,625000,NA,2,2,,2,6,,,2,1,2,45-54,No,3098,36.38,101900,243
Not Hispanic or Latino,Asian,Female,1,555000,7.125,595000,124,2,2,,2,21,,,2,2,2,35-44,No,4158,16.38,135900,125
Not Hispanic or Latino,White,Male,1,145000,7.625,195000,NA,3,2,,2,5,,,2,1,2,45-54,No,3797,28.55,117800,38
Not Hispanic or Latino,White,Male,0,475000,NA,485000,135,2,2,,2,5,,,2,1,2,45-54,No,5150,46.83,135900,74
Not Hispanic or Latino,White,Male,1,245000,8.25,335000,NA,1,2,,2,5,,,2,1,2,35-44,No,4724,23.81,101900,98
Not Hispanic or Latino,White,Female,1,675000,8.75,995000,NA,1,2,,2,5,,,2,2,2,>74,Yes,3466,22.39,135900,97
Not Hispanic or Latino,White,Male,1,875000,7.625,1355000,224,3,2,,2,5,,,2,1,2,25-34,No,3561,45.72,101900,143
Not Hispanic or Latino,White,Female,1,605000,7.875,925000,NA,1,2,,2,5,,,2,2,2,45-54,No,6982,98.7,101900,114
Not Hispanic or Latino,White,Joint,1,525000,6.49,765000,263,2,2,,2,5,,,2,2,2,35-44,No,1974,97.72,101900,0
Not Hispanic or Latino,White,Joint,1,855000,7,1065000,216,9,2,,2,5,,,2,1,2,25-34,No,4329,21.14,156200,141
Not Hispanic or Latino,White,Male,1,475000,8.125,685000,NA,2,2,,2,5,,,2,1,2,45-54,No,2127,91.21,101900,88
Not Hispanic or Latino,White,Joint,1,455000,6.75,505000,134,1,2,,2,5,,,2,1,2,<25,No,930,61.94,101900,95
Not Hispanic or Latino,White,Joint,1,555000,7.75,765000,NA,9,2,,2,5,,,2,2,2,35-44,No,6268,61.65,101900,106
Not Hispanic or Latino,White,Male,1,535000,7.625,805000,3315,3,2,,2,5,,,2,1,2,35-44,No,4342,41.89,135900,57
Not Hispanic or Latino,White,Joint,1,765000,6.625,1505000,4012,3,2,,2,5,,,2,1,2,25-34,No,4216,10.51,101900,149
Ethnicity Not Available,White,Male,1,435000,7.25,625000,NA,1,3,,2,5,,,2,1,2,45-54,No,5691,67.77,135900,70
Not Hispanic or Latino,Race Not Available,Male,0,1225000,NA,1495000,303,3,2,,2,6,,,2,1,2,25-34,No,6625,19.89,101900,149
Not Hispanic or Latino,White,Male,1,1955000,7.25,2605000,NA,1,2,,2,5,,,2,1,2,45-54,No,2822,56.52,101900,92
Not Hispanic or Latino,White,Male,1,505000,7.875,935000,NA,3,2,,2,5,,,2,1,2,25-34,No,2226,25.29,101900,103
Not Hispanic or Latino,White,Male,1,465000,7.375,625000,159,2,2,,2,5,,,2,1,2,25-34,No,9136,20.92,135900,107
Not Hispanic or Latino,White,Male,1,405000,7.5,515000,103,1,2,,2,5,,,2,1,2,25-34,No,6213,19.38,135900,110
Not Hispanic or Latino,White,Male,1,485000,7.125,645000,257,1,2,,2,5,,,2,1,2,35-44,No,5917,47.96,101900,119
Not Hispanic or Latino,White,Male,1,195000,7.625,255000,NA,3,2,,2,5,,,2,1,2,45-54,No,5113,52.88,117200,58
Not Hispanic or Latino,White,Male,1,515000,7.375,895000,NA,3,2,,2,5,,,2,1,2,35-44,No,6132,68.15,156200,63
Hispanic or Latino,White,Joint,1,155000,6.875,205000,70,2,1,,2,5,,,2,1,2,55-64,No,6998,93.93,101900,58
Not Hispanic or Latino,White,Female,1,685000,7.25,985000,NA,2,2,,2,5,,,2,2,2,45-54,No,7855,26.62,101900,58
Not Hispanic or Latino,White,Male,1,1425000,7.75,1905000,440,3,2,,2,5,,,2,1,2,35-44,No,4059,35.92,114800,108
Not Hispanic or Latino,White,Male,1,505000,7.875,635000,NA,2,2,,2,5,,,2,1,2,35-44,No,3652,99.23,133300,51
Not Hispanic or Latino,White,Male,1,385000,6.875,605000,NA,1,2,,2,5,,,2,1,2,<25,No,4928,44.62,156200,96
Not Hispanic or Latino,White,Joint,1,315000,10.25,2005000,260,3,2,,2,5,,,2,1,2,45-54,No,2875,37.04,101900,168
Not Hispanic or Latino,White,Male,1,335000,8.375,555000,NA,2,2,,2,5,,,2,1,2,25-34,No,8363,29.75,114800,39
Not Hispanic or Latino,White,Male,1,345000,8.375,435000,NA,2,2,,2,5,,,2,1,2,25-34,No,4381,16.53,135900,93
Not Hispanic or Latino,White,Male,1,525000,7.875,705000,NA,3,2,,2,5,,,2,1,2,35-44,No,3518,53.35,83800,82
Not Hispanic or Latino,White,Male,1,335000,7.375,995000,0,2,2,,2,5,,,2,1,2,25-34,No,4593,27.15,135900,70
Not Hispanic or Latino,White,Female,1,1425000,8.5,1905000,NA,3,2,,2,5,,,2,2,2,35-44,No,2243,89.12,101900,47
Not Hispanic or Latino,White,Male,1,575000,8.125,885000,NA,2,2,,2,5,,,2,1,2,25-34,No,8363,29.75,114800,39
Not Hispanic or Latino,Race Not Available,Female,1,2005000,6.75,4005000,NA,3,2,,2,6,,,2,2,2,>74,Yes,3856,23,101900,137
Not Hispanic or Latino,White,Male,1,325000,7.75,435000,NA,1,2,,1,5,,,1,1,1,45-54,No,5742,30.95,101900,168
Not Hispanic or Latino,White,Female,1,1105000,7.375,1375000,NA,1,2,,2,5,,,2,2,2,35-44,No,4039,21.04,135900,93
Not Hispanic or Latino,White,Male,1,785000,7.5,1055000,NA,2,2,,2,5,,,2,1,2,65-74,Yes,6769,98.49,101900,42
Not Hispanic or Latino,White,Male,1,465000,6.875,535000,162,2,2,,2,5,,,2,1,2,25-34,No,10354,32.65,135900,47
Not Hispanic or Latino,White,Male,1,915000,6.875,1225000,NA,1,2,,2,5,,,2,1,2,35-44,No,4342,41.89,135900,57
Not Hispanic or Latino,White,Male,1,435000,7.25,575000,NA,1,2,,2,5,,,2,1,2,45-54,No,3246,69.75,135900,38
Not Hispanic or Latino,White,Male,1,1015000,6.625,1355000,NA,3,2,,2,5,,,2,1,2,25-34,No,3493,8.42,101900,34
Not Hispanic or Latino,White,Male,1,125000,7.375,175000,NA,1,2,,2,5,,,2,1,2,35-44,No,1837,62.28,94800,87
Not Hispanic or Latino,White,Male,1,515000,7.375,685000,NA,1,2,,2,5,,,2,1,2,45-54,No,10137,21.92,135900,49
Not Hispanic or Latino,White,Male,1,425000,7.124,715000,777,3,2,,2,5,,,2,1,2,55-64,No,4562,27.36,135900,66
Not Hispanic or Latino,White,Male,1,355000,8.25,475000,NA,3,2,,2,5,,,2,1,2,35-44,No,3458,23.6,114800,81
Not Hispanic or Latino,Asian,Female,1,215000,7.375,285000,85,1,2,,2,21,,,2,2,2,35-44,No,8078,32.99,101900,0
Not Hispanic or Latino,White,Male,1,935000,7.5,1345000,NA,3,2,,2,5,,,2,1,2,45-54,No,6518,98.4,101900,41
Not Hispanic or Latino,White,Male,1,455000,6.125,925000,118,1,2,,2,5,,,2,1,2,45-54,No,4562,27.36,135900,66
Not Hispanic or Latino,Race Not Available,Joint,1,3005000,7.875,5255000,NA,9,2,,2,6,,,2,1,2,25-34,No,7811,33.13,101900,292
Hispanic or Latino,White,Male,1,505000,6.5,565000,213,3,1,12,2,5,,,2,1,2,25-34,No,3567,53.71,156200,71
Not Hispanic or Latino,White,Female,1,575000,6.875,725000,489,9,2,,2,5,,,2,2,2,25-34,No,6192,20.9,101900,201
Not Hispanic or Latino,White,Male,1,665000,6.875,955000,NA,2,2,,2,5,,,2,1,2,35-44,No,4039,21.04,135900,93
Not Hispanic or Latino,White,Male,1,2005000,6.99,7505000,1050,3,2,,2,5,,,2,1,2,45-54,No,2192,16.56,156200,114
Not Hispanic or Latino,White,Male,1,975000,7.625,1315000,NA,3,2,,2,5,,,2,1,2,55-64,Yes,4680,28.95,156200,88
Not Hispanic or Latino,Asian,Male,1,535000,6.124,595000,121,2,2,,2,27,,,2,1,2,45-54,No,4329,58.33,101900,121
Not Hispanic or Latino,White,Male,1,295000,7.25,445000,NA,1,2,,2,5,,,2,1,2,45-54,No,5135,19.57,135900,102
Not Hispanic or Latino,White,Male,1,525000,6.99,705000,NA,1,2,,2,5,,,2,1,2,35-44,No,4387,92.89,101900,59
Not Hispanic or Latino,White,Joint,1,405000,5.99,805000,242,2,2,,2,5,,,2,1,2,45-54,No,9136,20.92,135900,107
Not Hispanic or Latino,White,Male,1,515000,6.75,745000,NA,1,2,,2,5,,,2,1,2,35-44,No,5291,46.23,101900,162
Not Hispanic or Latino,White,Female,1,475000,7,635000,NA,2,2,,2,5,,,2,2,2,35-44,No,4562,30.16,156200,86
Not Hispanic or Latino,White,Male,1,1315000,6.99,2065000,NA,2,2,,2,5,,,2,1,2,35-44,No,4216,10.51,101900,149
Not Hispanic or Latino,White,Male,1,375000,7.375,505000,NA,1,2,,2,5,,,2,1,2,45-54,No,3435,93.36,135900,31
Not Hispanic or Latino,White,Joint,1,395000,6.625,445000,131,3,2,,2,5,,,2,1,2,25-34,No,5583,22.89,135900,78
Not Hispanic or Latino,White,Male,1,305000,7.875,405000,NA,2,2,,2,5,,,2,1,2,25-34,No,2518,32.21,83800,73
Not Hispanic or Latino,White,Male,1,545000,6.75,685000,180,2,2,,2,5,,,2,1,2,35-44,No,6465,63.96,156200,88
Not Hispanic or Latino,White,Male,1,335000,7.875,455000,NA,2,2,,2,5,,,2,1,2,35-44,No,4593,27.15,135900,70
Not Hispanic or Latino,White,Joint,1,405000,7.124,525000,186,2,2,,2,5,,,2,2,2,25-34,No,8832,26.65,135900,110
Not Hispanic or Latino,White,Male,1,425000,7.49,525000,NA,2,2,,2,5,,,2,1,2,25-34,No,4158,16.38,135900,125
Not Hispanic or Latino,White,Joint,1,555000,5.99,995000,206,2,2,,2,5,,,2,1,2,25-34,No,6386,26.4,135900,172
Not Hispanic or Latino,White,Male,1,605000,7.375,805000,NA,1,2,,2,5,,,2,1,2,65-74,Yes,3322,63.49,133300,72
Not Hispanic or Latino,White,Male,1,745000,7.49,995000,NA,1,2,,2,5,,,2,1,2,45-54,No,3659,75.38,101900,103
Not Hispanic or Latino,White,Male,1,315000,8.25,415000,NA,1,2,,2,5,,,2,1,2,25-34,No,2518,32.21,83800,73
Not Hispanic or Latino,Race Not Available,Female,1,1605000,8,4405000,457,1,2,,2,6,,,2,2,2,55-64,No,4204,41.08,101900,139
Not Hispanic or Latino,Black or African American,Male,1,185000,6.875,225000,64,1,2,,2,3,,,2,1,2,55-64,No,3290,70.7,101900,80
Not Hispanic or Latino,White,Joint,1,615000,6.5,685000,225,3,2,,2,5,,,2,1,2,25-34,No,3280,37.93,101900,180
Not Hispanic or Latino,Black or African American,Female,0,185000,NA,225000,67,2,2,,2,3,,,2,2,2,55-64,Yes,6010,69.53,101900,101
Not Hispanic or Latino,White,Male,1,1005000,8.375,2495000,900,3,2,,2,5,,,2,1,2,<25,No,4039,21.04,135900,93
Joint,White,Joint,1,325000,6.25,405000,168,2,1,11,2,5,,,2,1,2,25-34,No,1546,14.49,156200,72
Not Hispanic or Latino,White,Female,1,295000,8.125,395000,NA,2,2,,2,5,,,2,2,2,35-44,No,4626,34.26,135900,75
Not Hispanic or Latino,White,Male,1,415000,6.75,525000,174,3,2,,2,5,,,2,1,2,25-34,No,8363,29.75,114800,39
Not Hispanic or Latino,White,Male,1,585000,7.625,775000,441,9,2,,2,5,,,2,1,2,25-34,No,7553,18.1,135900,97
Not Hispanic or Latino,White,Joint,1,665000,6.75,705000,280,9,2,,2,5,,,2,2,2,35-44,No,4119,31.59,101900,173
Not Hispanic or Latino,White,Joint,1,355000,6.875,555000,120,2,2,,2,5,,,2,1,2,<25,No,4761,41.04,156200,105
Not Hispanic or Latino,White,Male,1,445000,7.5,595000,1479,1,2,,2,5,,,2,1,2,45-54,No,8363,29.75,114800,39
Not Hispanic or Latino,White,Male,1,805000,7,1005000,200,1,2,,2,5,,,2,1,2,25-34,No,4200,67.95,101900,78
Not Hispanic or Latino,White,Female,1,975000,8.75,1505000,NA,1,2,,2,5,,,2,2,2,25-34,No,5691,67.77,135900,70
Not Hispanic or Latino,White,Male,1,675000,6.875,1255000,1057,9,2,,2,5,,,2,1,2,25-34,No,4750,25.07,101900,66
Not Hispanic or Latino,White,Male,1,725000,6.5,805000,200,1,2,,2,5,,,2,1,2,25-34,No,7591,61.11,101900,90
Not Hispanic or Latino,White,Male,1,1705000,6.99,2775000,NA,3,2,,2,5,,,2,1,2,55-64,No,2865,45.58,156200,165
Not Hispanic or Latino,White,Male,1,955000,7.5,1855000,NA,3,2,,2,5,,,2,1,2,35-44,No,3347,90.38,101900,80
Not Hispanic or Latino,White,Male,1,1005000,8.25,1265000,1289,3,2,,2,5,,,2,1,2,35-44,No,4456,16.74,101900,248
Not Hispanic or Latino,White,Joint,1,525000,7.624,715000,326,9,2,,2,5,,,2,1,2,35-44,No,3390,95.1,135900,38
Not Hispanic or Latino,White,Male,1,575000,6.49,995000,410,2,2,,2,5,,,2,1,2,55-64,No,4824,30.02,101900,222
Not Hispanic or Latino,White,Male,1,255000,6.624,345000,117,1,2,,2,5,,,2,1,2,25-34,No,5583,22.89,135900,78
Not Hispanic or Latino,Asian,Male,1,995000,7.125,1325000,NA,3,2,,2,2,,,2,1,2,35-44,No,2789,91.39,101900,61
Not Hispanic or Latino,White,Male,1,375000,6.624,995000,88,2,2,,2,5,,,2,1,2,35-44,No,2481,12.17,101900,167
Not Hispanic or Latino,White,Joint,1,305000,7.49,415000,196,3,2,,2,5,,,2,1,2,45-54,No,5347,50.23,101900,101
Hispanic or Latino,Race Not Available,Male,1,645000,7.625,865000,0,3,1,,2,6,,,2,1,2,55-64,Yes,3034,96.28,101900,94
Not Hispanic or Latino,White,Male,1,645000,6.25,805000,117,1,2,,2,5,,,2,1,2,35-44,No,8363,29.75,114800,39
Not Hispanic or Latino,White,Joint,1,405000,6.99,555000,NA,3,2,,2,5,,,2,2,2,55-64,No,4249,19.02,135900,111
Not Hispanic or Latino,Asian,Joint,1,505000,6.75,775000,105,9,2,,2,2,,,2,2,2,45-54,No,2789,29.83,101900,137
Not Hispanic or Latino,White,Joint,1,765000,7.25,905000,196,9,2,,2,5,,,2,1,2,55-64,No,5452,32.72,101900,197
Not Hispanic or Latino,White,Male,1,885000,7.625,985000,187,1,2,,2,5,,,2,1,2,25-34,No,1912,20.71,101900,94
Not Hispanic or Latino,Black or African American,Joint,1,455000,6.625,465000,133,9,2,,2,3,,,2,2,2,35-44,No,3089,30.92,117400,94
Not Hispanic or Latino,Black or African American,Female,1,695000,7.375,935000,320,3,2,,2,3,,,2,2,2,45-54,No,1365,99.34,101900,108
Not Hispanic or Latino,White,Female,1,155000,6.75,235000,109,1,2,,2,5,,,2,2,2,35-44,No,3164,48.39,101900,115
Not Hispanic or Latino,White,Male,1,525000,6.99,665000,247,3,2,,2,5,,,2,1,2,25-34,No,3241,75.96,101900,82
Not Hispanic or Latino,White,Male,1,775000,8,975000,303,3,2,,2,5,,,2,1,2,25-34,No,5409,35,101900,71
Hispanic or Latino,White,Female,1,175000,6.375,205000,58,2,1,,2,5,,,2,2,2,25-34,No,6998,93.93,101900,58
Not Hispanic or Latino,White,Male,1,1955000,8.875,3005000,NA,1,2,,2,5,,,2,1,2,35-44,No,3466,22.39,135900,97
Not Hispanic or Latino,White,Male,1,255000,6.875,675000,125,3,2,,2,5,,,2,1,2,65-74,Yes,4127,9.64,135900,65
Not Hispanic or Latino,White,Male,1,1195000,8,1495000,9496,2,2,,2,5,,,2,1,2,65-74,Yes,5782,36.72,135900,56
Not Hispanic or Latino,Race Not Available,Male,1,675000,7,925000,1776,3,2,,2,6,,,2,1,2,35-44,No,4750,25.07,101900,66
Not Hispanic or Latino,White,Male,1,285000,7.5,405000,608,2,2,,2,5,,,2,1,2,35-44,No,5194,17.39,135900,91
Not Hispanic or Latino,White,Male,1,1305000,7.75,2005000,297,1,2,,2,5,,,2,1,2,35-44,No,11817,8.5,135900,41
Not Hispanic or Latino,White,Female,1,305000,7.875,405000,132,1,2,,2,5,,,2,2,2,55-64,No,1965,26.01,101900,78
Not Hispanic or Latino,White,Male,1,485000,6.5,545000,473,9,2,,2,5,,,2,1,2,25-34,No,7920,25.43,135900,70
Not Hispanic or Latino,Race Not Available,Male,1,255000,7.25,365000,NA,1,2,,2,6,,,2,1,2,35-44,No,3390,95.1,135900,38
Not Hispanic or Latino,White,Male,0,265000,NA,355000,-3,1,2,,2,5,,,2,1,2,45-54,No,4898,95.51,133300,74
Not Hispanic or Latino,White,Joint,1,255000,8.125,385000,85,9,2,,2,5,,,2,2,2,45-54,No,5040,52.4,101900,122
Not Hispanic or Latino,White,Joint,1,485000,6.375,735000,142,9,2,,2,5,,,2,1,2,25-34,No,9136,20.92,135900,107
Not Hispanic or Latino,White,Male,1,355000,6.875,955000,188,1,2,,2,5,,,2,1,2,45-54,No,12850,17.49,135900,33
Not Hispanic or Latino,White,Joint,1,325000,6.624,515000,93,9,2,,2,5,,,2,1,2,<25,No,5679,22.35,135900,129
Not Hispanic or Latino,White,Male,1,735000,8.5,975000,NA,3,2,,2,5,,,2,1,2,35-44,No,1695,13.98,101900,132
Not Hispanic or Latino,White,Joint,1,575000,6.875,605000,161,2,2,,2,5,,,2,1,2,35-44,No,5076,25.3,135900,92
Ethnicity Not Available,White,Sex Not Available,1,675000,7.625,905000,NA,3,3,,2,5,,,2,3,2,45-54,No,2481,12.17,101900,167
Not Hispanic or Latino,White,Female,1,425000,6.5,805000,125,1,2,,2,5,,,2,2,2,25-34,No,3767,32.94,101900,100
Not Hispanic or Latino,White,Female,1,665000,6.5,825000,217,1,2,,2,5,,,2,2,2,25-34,No,5135,19.57,135900,102
Not Hispanic or Latino,White,Male,1,365000,7.625,485000,206,9,2,,2,5,,,2,1,2,25-34,No,3225,24.99,135900,107
Hispanic or Latino,White,Male,1,675000,6.25,1345000,175,3,1,14,2,5,,,2,1,2,35-44,No,6101,32.29,101900,223
Not Hispanic or Latino,White,Male,1,715000,6.625,895000,265,3,2,,2,5,,,2,1,2,25-34,No,4512,22.87,135900,89
Not Hispanic or Latino,Black or African American,Male,0,555000,NA,575000,175,2,2,,2,3,,,2,1,2,25-34,No,4595,45.11,156200,78
Not Hispanic or Latino,Asian,Male,1,265000,7.125,865000,454,3,2,,2,2,,,2,1,2,35-44,No,2946,93.52,101900,74
Not Hispanic or Latino,White,Male,1,495000,7.25,825000,NA,1,2,,2,5,,,2,1,2,55-64,No,4039,21.04,135900,93
Hispanic or Latino,White,Female,1,25000,0,265000,79,1,1,,2,5,,,2,2,2,45-54,No,4407,7.44,135900,43
Not Hispanic or Latino,White,Male,1,735000,8.375,975000,NA,1,2,,2,5,,,2,1,2,25-34,No,6265,19.06,135900,109
Hispanic or Latino,White,Male,1,425000,7.375,575000,175,1,1,,2,5,,,2,1,2,45-54,No,7706,35.34,101900,264
Not Hispanic or Latino,White,Male,1,745000,7.5,1155000,NA,3,2,,2,5,,,2,1,2,45-54,No,3243,13.04,101900,119
Not Hispanic or Latino,White,Male,1,755000,6.375,2005000,186,2,2,,2,5,,,2,1,2,55-64,No,4158,16.38,135900,125
Not Hispanic or Latino,White,Male,1,645000,8.125,805000,188,2,2,,2,5,,,2,1,2,25-34,No,2226,25.29,101900,103
Not Hispanic or Latino,White,Female,1,515000,7,605000,70,3,2,,2,5,,,2,2,2,45-54,No,6132,68.15,156200,63
Not Hispanic or Latino,White,Male,1,565000,6.125,595000,130,1,2,,2,5,,,2,1,2,<25,No,9136,20.92,135900,107
Not Hispanic or Latino,White,Male,1,15000,6.625,265000,201,2,2,,2,5,,,2,1,2,25-34,No,7788,28.79,135900,69
Not Hispanic or Latino,White,Male,1,425000,7.625,535000,173,2,2,,2,5,,,2,1,2,25-34,No,4444,30.11,135900,126
Not Hispanic or Latino,White,Male,1,795000,7.125,1015000,225,3,2,,2,5,,,2,1,2,25-34,No,5978,25.71,135900,109
Not Hispanic or Latino,Race Not Available,Male,1,665000,7.25,925000,170,3,2,,2,6,,,2,1,2,25-34,No,6122,61.16,101900,72
Not Hispanic or Latino,White,Joint,1,325000,6.5,855000,83,9,2,,2,5,,,2,1,2,65-74,Yes,3023,58.02,101900,76
Not Hispanic or Latino,White,Male,1,365000,6.75,765000,508,3,2,,2,5,,,2,1,2,45-54,No,8385,43.41,101900,179
Not Hispanic or Latino,White,Male,1,1045000,7.625,1905000,NA,2,2,,2,5,,,2,1,2,35-44,No,6465,31.29,156200,83
Not Hispanic or Latino,Black or African American,Male,0,345000,NA,385000,126,3,2,,2,3,,,2,1,2,25-34,No,3932,71.24,101900,119
Not Hispanic or Latino,White,Joint,1,765000,6.99,955000,169,9,2,,2,5,,,2,1,2,25-34,No,4548,20.21,135900,124
Not Hispanic or Latino,White,Joint,1,585000,6.75,665000,196,1,2,,2,5,,,2,1,2,35-44,No,3897,45.91,101900,177
Not Hispanic or Latino,Race Not Available,Male,1,1655000,7.25,2205000,2466,2,2,,2,6,,,2,1,2,55-64,No,4548,20.21,135900,124
Not Hispanic or Latino,White,Male,1,365000,6.99,465000,187,1,2,,2,5,,,2,1,2,25-34,No,5304,69.19,101900,177
Not Hispanic or Latino,White,Male,1,845000,7.5,1255000,389,2,2,,2,5,,,2,1,2,25-34,No,7553,18.1,135900,97
Not Hispanic or Latino,White,Male,1,395000,7.875,575000,NA,3,2,,2,5,,,2,1,2,25-34,No,5476,30.06,135900,96
Ethnicity Not Available,Race Not Available,Joint,1,655000,6.99,905000,162,9,3,,2,6,,,2,1,2,25-34,No,5917,47.96,101900,119
Not Hispanic or Latino,White,Male,1,495000,7.375,705000,NA,1,2,,2,5,,,2,1,2,45-54,No,2508,90.19,135900,35
Not Hispanic or Latino,White,Male,1,465000,7.125,715000,NA,1,2,,2,5,,,2,1,2,45-54,No,5135,19.57,135900,102
Not Hispanic or Latino,White,Male,1,185000,7.625,275000,959,3,2,,2,5,,,2,1,2,45-54,No,10354,32.65,135900,47
Not Hispanic or Latino,White,Male,1,335000,7.5,675000,NA,2,2,,2,5,,,2,1,2,25-34,No,8832,26.65,135900,110
Not Hispanic or Latino,White,Male,1,1125000,6.875,1505000,1660,3,2,,2,5,,,2,1,2,25-34,No,3466,22.39,135900,97
Not Hispanic or Latino,White,Joint,1,695000,6.75,925000,152,9,2,,2,5,,,2,1,2,25-34,No,2928,26.16,101900,92
Not Hispanic or Latino,White,Male,1,405000,6.99,635000,220,3,2,,2,5,,,2,1,2,35-44,No,3172,98.33,133300,43
Not Hispanic or Latino,White,Joint,1,645000,6.875,805000,229,3,2,,2,5,,,2,1,2,35-44,No,6189,41.7,101900,180
Not Hispanic or Latino,White,Male,1,495000,7.375,645000,89,3,2,,2,5,,,2,1,2,55-64,No,2827,31.98,114800,156
Not Hispanic or Latino,White,Male,1,455000,7.75,605000,NA,3,2,,2,5,,,2,1,2,25-34,No,4249,19.02,135900,111
Not Hispanic or Latino,White,Male,1,825000,6.875,1105000,467,1,2,,2,5,,,2,1,2,35-44,No,5135,19.57,135900,102
Not Hispanic or Latino,Race Not Available,Male,1,955000,7.625,1305000,321,3,2,,2,6,,,2,1,2,35-44,No,8832,26.65,135900,110
Not Hispanic or Latino,Joint,Joint,1,845000,7,1055000,409,3,2,,2,5,,,2,1,2,25-34,No,4415,27.79,101900,267
Not Hispanic or Latino,White,Female,0,345000,NA,415000,115,1,2,,2,5,,,2,2,2,25-34,No,1160,12.5,135900,159
Not Hispanic or Latino,White,Male,1,355000,6.99,445000,103,2,2,,2,5,,,2,1,2,25-34,No,5880,19.17,156200,98
Not Hispanic or Latino,White,Male,1,1795000,7.875,2395000,NA,2,2,,2,5,,,2,1,2,35-44,No,1402,4.21,101900,135
Not Hispanic or Latino,White,Joint,1,405000,6.99,845000,280,9,2,,2,5,,,2,1,2,65-74,Yes,2064,59.16,101900,106
Not Hispanic or Latino,White,Joint,1,245000,6.99,325000,131,3,2,,2,5,,,2,1,2,65-74,Yes,5799,31.06,101900,258
Not Hispanic or Latino,Race Not Available,Joint,1,365000,8,605000,226,9,2,,2,6,,,2,2,2,65-74,Yes,3799,35.59,101900,253
Not Hispanic or Latino,White,Male,1,525000,7.375,805000,NA,3,2,,2,5,,,2,1,2,45-54,No,3593,94.32,133300,57
Not Hispanic or Latino,White,Joint,1,355000,7.49,475000,139,3,2,,2,5,,,2,1,2,55-64,Yes,4249,19.02,135900,111
Not Hispanic or Latino,White,Male,1,515000,8.125,685000,NA,3,2,,2,5,,,2,1,2,45-54,No,2705,16.19,135900,57
Not Hispanic or Latino,White,Male,1,975000,8,1305000,NA,1,2,,2,5,,,2,1,2,45-54,No,4032,5.73,101900,0
Not Hispanic or Latino,White,Female,1,405000,6.99,615000,325,3,2,,2,5,,,2,2,2,35-44,No,6476,19.05,135900,125
Not Hispanic or Latino,White,Male,1,455000,7.25,485000,144,2,2,,2,5,,,2,1,2,25-34,No,8363,29.75,114800,39
Not Hispanic or Latino,White,Joint,1,765000,5.75,1355000,209,2,2,,2,5,,,2,1,2,35-44,No,5463,7.25,101900,42
Not Hispanic or Latino,White,Male,1,405000,8.75,545000,NA,1,2,,2,5,,,2,1,2,25-34,No,3687,52.21,117200,68
Not Hispanic or Latino,White,Male,1,335000,8.75,455000,NA,1,2,,2,5,,,2,1,2,25-34,No,2690,27.7,117200,83
Not Hispanic or Latino,White,Joint,1,655000,7.25,835000,170,9,2,,2,5,,,2,2,2,25-34,No,6111,22.06,133300,232
Not Hispanic or Latino,White,Female,1,335000,6.875,455000,72,1,2,,2,5,,,2,2,2,45-54,No,4127,9.64,135900,65
Not Hispanic or Latino,White,Female,1,465000,6.624,785000,487,3,2,,2,5,,,2,2,2,<25,No,8832,26.65,135900,110
Not Hispanic or Latino,White,Male,1,345000,8.75,465000,NA,1,2,,2,5,,,2,1,2,25-34,No,2815,59.04,117200,68
Not Hispanic or Latino,White,Joint,1,385000,6.375,505000,72,3,2,,2,5,,,2,2,2,25-34,No,8832,26.65,135900,110
Not Hispanic or Latino,White,Female,1,725000,6.75,1175000,978,9,2,,2,5,,,2,2,2,25-34,No,5609,37.53,101900,179
Not Hispanic or Latino,Asian,Male,1,935000,7.5,1255000,NA,1,2,,2,2,21,,2,1,2,35-44,No,1587,34.53,101900,115
Not Hispanic or Latino,White,Male,1,175000,8.75,235000,NA,2,2,,2,5,,,2,1,2,35-44,No,4609,36.6,114800,87
Not Hispanic or Latino,White,Male,1,185000,7.875,245000,NA,3,2,,2,5,,,2,1,2,45-54,No,5113,52.88,117200,58
Not Hispanic or Latino,White,Joint,1,285000,7.624,375000,82,9,2,,2,5,,,2,1,2,<25,No,6679,26.98,135900,82
Not Hispanic or Latino,White,Male,1,955000,7.5,1855000,NA,3,2,,2,5,,,2,1,2,35-44,No,3347,90.38,101900,80
Not Hispanic or Latino,White,Male,1,275000,8.75,395000,NA,2,2,,2,5,,,2,1,2,35-44,No,3844,39.7,114800,93
